ID#,Balance,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
91,62553,7672,16,700,1,6819
92,48433,3500,4,500,1,6807
93,20508,22250,8,1250,5,6794
94,2000,2000,4,2000,4,6809
95,78629,36679,25,0,0,6817
96,143566,5000,5,1500,3,6785
97,185549,110859,39,2950,16,6778
98,16796,2875,16,0,0,6773
99,57346,5560,23,0,0,6766
100,102062,44247,16,0,0,6758
101,22324,1375,4,0,0,6753
102,64824,20184,13,0,0,6770
103,25076,57203,14,0,0,6750
104,8053,0,0,0,0,6750
105,35119,0,0,0,0,6749
106,28667,3861,7,2050,5,6749
107,34327,0,0,0,0,6745
108,3734,61096,18,150,2,6760
109,96627,49059,26,2300,9,6738
110,43498,0,0,0,0,6759
111,84674,46335,14,50,1,6738
112,15098,32917,26,550,3,6737
113,181019,18415,15,0,0,7714
114,298911,8550,11,2550,8,7714
115,124198,66330,23,4833,10,7710
116,56906,2015,13,0,0,7707
117,295638,5422,20,818,2,7700
118,67018,23260,25,0,0,7698
119,143967,7346,11,0,0,7689
120,969559,2500,3,1000,2,7718
121,122705,24222,15,0,0,7682
122,16583,2625,7,0,0,7682
123,77540,1000,1,0,0,7683
124,205126,126630,45,2250,10,7668
125,81974,37266,18,1050,3,7661
126,47258,24768,19,0,0,7659
127,77699,42775,13,0,0,7654
128,133954,37670,18,1500,3,7654
129,602064,194753,26,2250,10,7652
130,213150,56308,41,5200,14,7645
131,48333,10123,14,0,0,6737
132,142175,37461,22,0,0,6732
133,17469,0,0,0,0,6730
134,19823,1095,3,335,1,6730
135,145074,8000,4,0,0,6746
136,101101,10850,11,1850,6,6725
137,125948,15155,15,0,0,6761
138,259484,19172,26,7172,23,6723
139,129298,29099,15,0,0,6722
140,103302,53552,22,700,3,6718
141,160447,8578,25,0,0,6716
142,15472,3500,14,0,0,6715
143,39628,0,0,0,0,6711
144,6112,0,0,0,0,6709
145,31769,450,2,450,2,6707
146,126787,35021,17,0,0,6701
147,41547,16857,17,0,0,6697
148,100640,7600,8,1600,5,6708
149,18707,100,1,0,0,6693
150,50593,58208,17,1500,2,6689
151,84631,20415,17,0,0,6736
152,24868,205,5,0,0,6689
153,77097,42403,22,1718,4,6683
154,930410,211284,18,2250,6,7640
155,298121,60808,20,500,1,7640
156,87474,4581,15,0,0,7634
157,48707,37655,14,0,0,7631
158,220081,52574,21,500,1,7626
159,212976,19926,12,0,0,7624
160,44182,12313,12,0,0,7619
161,228829,59852,21,0,0,7612
162,46823,5860,12,0,0,7613
163,69110,18500,19,0,0,7598
164,120700,55323,17,1500,1,7598
165,152945,18604,6,3604,2,7598
166,10302,30298,19,0,0,7591
167,80331,15489,18,0,0,7634
168,69882,180,6,0,0,7582
169,95658,5269,18,0,0,7584
170,402874,74800,15,0,0,7582
171,370941,44615,16,0,0,7577
172,21694,45230,20,700,2,7575
173,71767,67335,13,0,0,7570
174,35820,0,0,0,0,7575
175,352508,23740,6,1000,2,7563
176,149285,15656,13,3250,6,7561
177,120941,42301,21,0,0,7588
178,451673,43533,19,900,4,7575
179,106961,7357,19,200,2,7572
180,28086,7368,12,0,0,7549
181,60230,500,1,0,0,7544
182,6663,1125,7,750,4,7575
183,48145,10735,27,0,0,7540
184,127807,17086,16,1500,3,7537
186,32948,50,1,50,1,7569
187,8933,8860,14,0,0,7533
188,49885,23640,17,0,0,7533
189,89999,11694,13,0,0,7530
190,707079,57173,40,3450,12,7523
191,211595,3250,8,0,0,7521
192,410795,73679,31,0,0,7514
193,72173,2954,13,232,1,7509
194,123516,240544,31,500,2,7507
195,143080,44373,38,3928,17,7575
196,386061,107813,24,0,0,7500
197,52738,0,0,0,0,7498
198,24523,100,1,0,0,7493
199,134601,0,0,0,0,7493
200,32742,61857,26,0,0,7488
201,108341,19670,21,0,0,7488
202,8669,11397,16,0,0,7486
203,118940,36001,17,150,1,7484
204,41385,26948,14,0,0,7481
205,28621,13878,20,1400,10,7479
206,16230,486,2,0,0,7477
207,152881,79687,18,500,1,7474
208,37348,0,0,0,0,7472
209,51468,2278,9,0,0,7460
210,95989,92159,30,1329,4,7518
211,23184,3694,12,1150,3,7467
212,27381,18009,18,0,0,7524
213,6854,0,0,0,0,7467
214,201346,99612,34,600,4,7463
215,31588,2947,8,0,0,7463
216,204582,4671,14,0,0,7498
217,8298,20087,15,0,0,7498
218,10097,2700,1,2700,1,7498
219,114356,27308,14,0,0,7456
220,1344,1134,9,0,0,7498
221,59797,7069,4,0,0,7444
222,189053,24156,22,0,0,7439
223,143481,45891,15,0,0,7437
224,1302051,90653,32,3050,7,7467
225,229744,68754,35,550,2,7467
226,75039,2750,10,250,1,7435
227,20203,750,6,0,0,7467
228,193976,10849,14,0,0,7416
229,98224,5570,11,0,0,7467
230,117329,6448,11,0,0,7416
231,119239,36362,15,250,1,7467
232,53715,7164,15,300,2,7416
233,153747,58689,15,0,0,7409
234,133309,23987,13,0,0,7415
235,81380,56524,22,0,0,7404
236,22074,6039,15,0,0,7404
237,24051,8764,13,0,0,7395
238,11449,9057,13,0,0,7397
239,182317,19489,17,273,1,7397
240,46184,3125,12,500,1,7388
241,285116,8471,18,500,1,7406
242,30962,97683,37,6400,18,7360
243,15525,3853,6,0,0,7406
244,163530,88987,25,0,0,7406
245,2075,5002,14,0,0,7374
246,227881,41186,13,0,0,7369
247,118934,66222,37,2250,17,7354
248,468175,141615,22,0,0,7348
249,12526,56076,19,3850,11,7375
250,176090,5300,9,2200,6,7344
251,15221,4425,9,0,0,7361
252,92875,60990,14,0,0,7344
253,88702,9620,13,50,1,7406
254,62882,1925,8,0,0,7375
255,30015,5875,32,0,0,7341
256,87293,21584,17,1050,2,7406
257,45225,14711,15,0,0,7339
258,96098,12500,4,0,0,7339
259,236274,61515,12,0,0,7375
260,423540,8534,14,2100,9,7375
261,25279,14938,26,0,0,7327
262,198137,6303,6,500,1,7323
263,402312,77122,18,250,3,7375
264,149733,605,3,500,1,7323
265,70730,1319,12,0,0,7316
266,164613,11095,13,0,0,7375
267,47557,10267,18,200,3,7345
268,35065,5400,5,1400,3,7311
269,105769,23097,16,0,0,7345
270,35900,0,0,0,0,7304
271,43088,4000,1,0,0,7345
272,58703,46473,34,950,4,7296
273,70354,120907,22,0,0,7290
274,145726,19019,15,0,0,7292
275,121639,67286,7,0,0,7288
276,70676,74993,15,0,0,7288
277,18263,2100,4,1000,2,7285
278,51250,0,0,0,0,7283
279,1704838,17108,32,4823,23,7283
280,12895,0,0,0,0,7277
281,120073,12423,29,0,0,7276
282,2003,980,2,0,0,7274
283,22652,57642,14,0,0,7271
284,168515,4600,4,0,0,7269
285,44873,38740,18,850,2,7267
286,190542,8487,9,0,0,7267
287,156230,5300,8,1300,5,7260
288,79211,36776,14,0,0,7260
289,98006,46349,20,2309,3,7332
290,33982,68320,17,0,0,7255
291,62998,11326,24,0,0,7253
292,137908,57713,19,0,0,7250
293,45586,37459,15,0,0,7246
294,568174,67121,16,1000,2,7243
295,145993,95082,17,500,1,7229
296,294881,84800,20,0,0,7279
297,12195,3875,17,0,0,7229
298,16622,0,0,0,0,7229
299,141813,39743,14,0,0,7254
300,58139,38408,16,150,1,7227
301,238868,20521,16,0,0,7220
302,149286,42141,30,2400,13,7222
303,35945,0,0,0,0,7220
304,28218,750,4,750,4,7232
305,7061,7100,12,0,0,7218
306,217846,49198,20,0,0,7215
307,364387,28200,27,0,0,7213
308,125465,14750,9,0,0,7206
309,94222,52081,24,0,0,7201
310,123370,7478,16,0,0,7197
311,383030,8001,25,3226,15,7326
312,112969,7572,7,0,0,7192
313,46430,2100,4,500,1,7194
314,179433,30476,15,0,0,7187
315,20746,37534,17,0,0,7185
316,61455,28765,17,0,0,7183
317,714717,119162,20,1750,4,7183
318,179559,17819,12,1000,2,7173
319,119977,9275,16,1400,4,7226
320,16928,1000,1,0,0,7173
321,65316,3917,10,0,0,7254
322,766419,11398,3,398,1,7162
323,52060,6500,3,0,0,7162
324,84700,13544,17,0,0,7162
325,205523,32404,20,1000,2,7159
326,20457,51399,16,0,0,7193
327,278727,21666,19,9166,16,7155
328,50325,11930,14,0,0,7155
329,455228,258,2,258,2,7141
330,73849,11793,21,0,0,7250
331,388455,114329,26,6078,8,7164
332,138999,63738,29,600,4,7153
333,65573,3875,23,0,0,7130
334,172288,66879,10,0,0,7130
335,47958,0,0,0,0,7130
337,133002,15672,21,150,1,7117
338,42363,0,0,0,0,7120
339,133370,44299,18,0,0,7101
340,278457,57313,27,1000,2,7101
341,105166,37663,22,0,0,7120
342,34956,0,0,0,0,7172
343,46963,1500,5,0,0,7117
344,55788,24831,12,0,0,7314
345,174910,63960,20,200,1,7110
346,13812,15149,39,0,0,7110
347,38718,0,0,0,0,7314
348,112501,19140,11,0,0,7101
349,54005,1500,5,0,0,7099
350,66863,36532,9,0,0,7099
351,93045,17636,15,0,0,7092
352,197328,60447,12,0,0,7092
353,151301,37772,14,0,0,7092
354,87938,11268,2,0,0,7085
355,15283,1250,3,0,0,7132
356,105423,20802,14,0,0,7078
357,312512,100,1,100,1,7078
358,13680,0,0,0,0,7073
359,41279,14462,20,1650,6,7064
360,25313,7491,13,0,0,7064
361,148691,3000,3,1000,2,7064
362,224081,40108,15,150,2,7059
363,51088,0,0,0,0,7057
364,95305,3189,13,0,0,7054
365,22080,12200,47,1950,9,7050
366,11660,140,1,0,0,7050
367,222227,38127,14,500,1,7047
368,16200,160,1,0,0,7043
369,38227,8612,13,0,0,7036
370,80214,500,1,500,1,7029
371,53985,1000,1,0,0,7029
372,14414,0,0,0,0,7024
373,44457,225,3,0,0,7026
374,161813,126941,20,0,0,7026
375,138020,6568,15,0,0,7024
376,107707,19407,25,2211,12,7024
377,95656,62666,27,0,0,7019
378,149678,0,0,0,0,7022
379,15113,10574,19,0,0,7017
380,231,29900,24,5300,15,7015
381,22380,300,2,200,1,7010
382,146263,20853,21,350,1,7001
383,24598,0,0,0,0,7040
384,76150,36907,17,0,0,6998
385,377252,230629,30,6393,13,6996
386,167670,15907,13,0,0,6994
387,86853,42293,21,500,1,6980
388,479989,66516,26,1600,6,6980
389,28193,103456,32,0,0,6980
390,67086,18157,16,0,0,6974
391,35969,11665,21,0,0,6977
393,53790,28717,19,0,0,8296
394,198859,17855,14,500,1,8296
395,91939,1244,8,0,0,8296
396,88449,11402,18,1450,5,8296
397,54842,20792,15,0,0,8296
398,11189,9044,20,0,0,8296
399,16999,140,1,0,0,8296
400,114713,7142,18,0,0,8296
401,1612,955,9,0,0,8296
402,97763,2000,9,0,0,8296
403,15129,0,0,0,0,8296
404,15669,1205,4,0,0,8296
405,26720,913,3,0,0,8296
406,205292,5471,13,0,0,8296
407,56635,1024,8,359,2,8296
408,127297,8510,12,0,0,8296
409,8927,0,0,0,0,8296
410,507506,102279,32,4485,13,8296
411,145723,59858,16,0,0,8296
412,6458,0,0,0,0,8296
413,267640,6000,3,0,0,8296
414,5581,0,0,0,0,8296
415,10732,1296,6,0,0,8296
416,620498,25395,53,1750,14,8296
417,68963,37723,15,0,0,8296
418,109640,66983,38,5500,17,8296
419,225802,74340,16,200,2,8296
420,58452,0,0,0,0,8296
421,109087,10462,16,0,0,8296
422,68286,22831,13,0,0,8296
423,68464,240,3,0,0,8296
424,131960,16081,8,0,0,8296
425,199956,0,0,0,0,8296
426,529886,23866,26,7741,15,8296
427,23529,500,1,0,0,8296
428,190295,3501,15,0,0,8296
429,21083,129330,16,1000,2,8296
430,117860,62758,15,0,0,8296
431,118844,28731,17,400,2,8289
432,60493,9000,1,0,0,8289
433,491987,68007,23,700,2,8289
434,87692,2310,6,500,1,8289
435,78028,36269,24,0,0,8289
436,251286,0,0,0,0,8289
437,17575,0,0,0,0,8289
438,50431,1000,1,0,0,8289
439,153597,56567,18,0,0,8289
440,74579,4600,11,600,8,8289
441,2494,0,0,0,0,8289
442,96031,46588,21,0,0,8289
443,353678,141230,28,1450,5,8289
444,50052,49383,13,0,0,8289
445,13381,1000,8,0,0,8289
446,25123,2030,6,0,0,8289
447,132555,24775,31,350,1,8289
448,14528,6000,7,3000,6,8289
449,24038,6290,14,0,0,8289
450,192104,39010,53,1750,8,8289
451,106773,12900,10,1400,8,8289
452,229397,22873,13,0,0,8289
453,14732,100,1,0,0,8289
454,383129,23608,16,500,1,8289
455,11431,1759,4,759,3,8289
456,175461,40997,14,0,0,8289
457,52953,500,1,0,0,8289
458,182291,24155,22,0,0,8289
459,198317,61714,16,0,0,8289
460,49053,6498,18,950,5,8289
461,22772,0,0,0,0,8289
462,34170,15476,20,150,1,8289
463,158483,9018,11,0,0,8289
464,43285,28613,14,0,0,8252
465,52980,17078,14,0,0,8237
466,74342,4389,12,0,0,8228
467,139849,19946,15,0,0,8228
468,26080,9872,13,0,0,8228
469,29469,2522,4,0,0,8228
470,189252,2991,15,0,0,8228
471,382546,136619,34,3000,6,8228
472,1113394,60883,26,2600,9,8228
473,459681,95531,17,0,0,8228
474,83590,3708,22,0,0,8228
475,82528,2100,5,600,4,8228
476,5600,125,1,0,0,8228
477,743745,4100,20,2500,18,8228
478,43954,63463,13,250,1,8228
479,52005,11870,15,100,1,8228
480,45494,5021,16,600,2,8228
481,171509,40090,55,6381,23,8151
482,235947,3982,16,0,0,8145
483,153108,25802,14,500,1,8137
484,260261,33047,21,0,0,8146
485,80223,21248,26,2050,7,8121
486,38716,8253,21,0,0,8114
487,1125076,23046,14,0,0,8107
488,10954,2500,1,0,0,8095
489,97099,6325,21,1700,5,8085
490,62396,1250,3,0,0,8075
491,40645,18348,13,0,0,8067
492,82655,101101,19,700,2,8057
493,84035,4240,6,1600,4,8114
494,1199220,3800,19,3300,18,8023
495,86345,13415,16,350,2,8009
496,2701,5000,10,0,0,8002
497,46874,9689,38,500,1,7990
498,10879,78186,32,3400,12,7981
499,12742,0,0,0,0,7966
500,122904,37380,21,1300,4,7956
501,10994,1250,3,0,0,8007
502,2318,8747,14,0,0,7945
503,11070,0,0,0,0,7939
504,21921,0,0,0,0,7939
505,162521,57354,25,0,0,8105
506,207545,11137,34,4387,12,8105
507,86112,35528,22,0,0,8105
508,18328,0,0,0,0,6790
509,217557,97584,19,550,2,6679
510,11504,100,1,0,0,6675
511,143200,79837,28,50,1,6667
512,160703,32560,12,0,0,6666
513,910,5172,13,0,0,6662
514,94105,100,1,0,0,6676
515,18422,3297,13,0,0,6653
516,889456,98959,29,850,4,6652
517,9800,10348,34,3000,25,6651
518,148318,51197,22,350,2,6648
519,26149,5190,6,0,0,6646
520,76933,28075,17,0,0,6646
521,346178,63803,16,0,0,6645
522,22878,9039,32,0,0,6641
523,66741,71921,30,2600,7,6638
524,134060,46606,13,0,0,6637
525,3305,31465,24,1700,10,6633
526,28930,8185,17,0,0,6630
527,208519,4040,6,450,2,6627
528,58951,47994,15,500,1,6625
529,25395,2000,1,0,0,6624
530,109248,6828,11,0,0,6618
531,43387,4942,13,0,0,6613
532,52423,26926,13,0,0,6611
533,26858,34308,17,900,3,6606
534,5410,45890,22,0,0,6603
535,18177,12040,12,0,0,6690
536,413509,2500,1,0,0,6598
537,98472,124421,45,10250,28,6621
538,86520,64450,20,1000,2,6592
539,16648,625,4,0,0,6588
540,267404,263685,51,3000,6,6584
541,31478,18885,18,0,0,6578
542,17445,4500,3,500,1,6576
543,49052,46718,17,0,0,6575
544,21689,0,0,0,0,6570
545,18302,2197,10,0,0,6569
546,26220,2775,11,0,0,6647
547,59552,7551,22,0,0,6473
548,34962,252,3,0,0,6208
549,16153,180,1,0,0,6491
550,28931,6500,4,500,1,6354
551,202636,19000,5,0,0,6119
552,153962,90992,21,0,0,6567
553,63311,25048,14,0,0,6634
554,8561,2050,8,1300,2,6675
555,256219,29823,33,6568,16,6561
556,122700,18604,13,0,0,6556
557,81419,7769,12,350,1,6599
558,13873,4833,20,0,0,6519
559,148,190,2,0,0,6507
560,178919,23387,17,0,0,6555
562,19702,3000,1,0,0,6554
563,18820,0,0,0,0,6549
564,213849,500,1,0,0,6549
565,28077,735,6,500,1,6575
566,4528,290,1,0,0,6565
567,40418,12678,12,0,0,6541
568,380930,22485,25,213,1,6539
569,176849,7700,11,950,4,6539
570,71235,41004,14,0,0,6535
571,76446,63811,17,0,0,6550
572,148915,23522,16,650,2,6532
573,65034,14331,16,800,3,6541
574,35738,41264,16,0,0,6526
575,313,1600,1,0,0,6525
576,55703,0,0,0,0,6520
577,11613,2000,1,0,0,6519
578,65672,29089,13,0,0,6529
579,84785,4570,14,0,0,6514
580,30592,2602,7,0,0,6512
581,99293,81040,23,1000,2,6508
582,51830,0,0,0,0,6507
583,20126,78999,28,800,3,6506
584,3294,1330,2,0,0,6498
585,11143,2800,6,800,5,6529
586,8250,250,2,0,0,6486
587,117670,53043,19,550,1,6505
588,49454,9548,22,250,1,6501
589,58421,1000,1,0,0,6532
590,33443,0,0,0,0,6476
591,13886,0,0,0,0,6465
592,15349,250,2,0,0,6457
593,78712,0,0,0,0,6433
594,89742,39073,13,0,0,6498
595,31311,3961,10,0,0,6494
596,133445,3375,13,0,0,6492
597,136161,6032,15,0,0,6463
599,9998,0,0,0,0,6448
600,37904,19052,17,0,0,6487
601,41243,27971,7,300,1,6483
602,54011,38380,20,5780,4,6487
603,5351,100,1,0,0,6450
604,23334,0,0,0,0,6441
605,11255,0,0,0,0,6428
606,48127,41447,28,0,0,6421
607,329497,57264,12,0,0,6484
608,158895,41954,15,0,0,6525
609,34540,27882,13,0,0,6494
610,117623,86582,26,1000,6,6477
611,126409,28460,13,0,0,6478
612,112843,16137,14,0,0,6472
613,117240,1200,3,700,2,6471
614,7216,21419,18,0,0,6470
615,26412,5086,2,0,0,6552
616,427528,35098,16,1600,3,6465
617,1846,450,1,0,0,6471
618,45830,23404,10,0,0,6459
619,179042,25078,50,3350,15,6456
620,41487,10885,7,0,0,6451
621,39601,3733,9,0,0,6450
622,46142,14445,13,0,0,6452
623,110277,37110,18,1500,3,6445
625,122928,12211,14,0,0,6443
626,146599,16463,16,1000,2,6444
627,338656,52908,16,0,0,6444
628,54125,48874,17,450,3,6463
629,29861,28190,15,0,0,6407
630,126148,6273,8,0,0,6435
631,62080,19113,32,10650,28,6434
632,175131,53495,15,0,0,6431
633,365918,83752,23,1373,7,6429
634,105547,24973,26,500,1,6415
635,67615,14168,13,0,0,6413
636,33554,27410,16,350,1,6428
637,163083,3825,9,450,4,6428
638,747983,26117,15,50,1,6427
639,415070,153183,41,3802,20,6423
640,18111,4625,26,0,0,6463
641,41526,0,0,0,0,6406
642,38021,5538,9,0,0,6407
643,17500,0,0,0,0,6400
644,5906,280,1,0,0,6395
645,70133,7396,16,0,0,6392
646,32010,12315,6,650,2,6421
647,82605,23049,15,0,0,6417
648,77285,63841,32,0,0,6417
649,15219,0,0,0,0,6427
650,54889,13150,4,0,0,6438
651,8910,150,1,150,1,6413
652,49891,500,1,500,1,6392
653,10484,0,0,0,0,6375
654,15496,0,0,0,0,6324
655,16714,0,0,0,0,6214
656,25835,15153,15,0,0,6142
657,3487,710,1,0,0,6059
658,347096,12000,6,0,0,6408
659,155962,16510,16,50,1,6406
660,160572,8163,18,500,1,6403
661,257068,5900,4,400,1,6420
662,48410,37869,16,500,1,6395
663,33269,4675,10,200,1,6396
664,25685,185,3,0,0,6382
665,50500,4765,14,0,0,6380
666,97486,22707,15,0,0,6387
667,323459,12000,8,1500,3,6378
668,11821,10697,10,0,0,6387
669,37039,29976,18,0,0,6375
670,28306,233,3,0,0,6371
671,109532,128048,53,7939,26,6372
672,91974,19223,18,500,1,6372
673,65823,28208,19,300,3,6373
675,104824,14582,15,0,0,6366
676,16061,2750,11,0,0,6366
677,55237,5547,14,0,0,6358
678,10491,5025,11,150,1,6357
679,192334,33950,21,1450,4,6366
680,45501,49656,17,316,1,6375
681,18661,0,0,0,0,6352
682,89668,29130,14,0,0,6350
683,53327,8650,6,650,2,6350
684,133143,43643,14,50,1,6385
685,22268,23582,15,200,1,6339
686,26556,2845,14,720,4,6339
687,9601,20467,16,0,0,6338
688,280561,12154,13,0,0,6337
689,146248,2900,4,1400,3,6333
690,9483,1000,1,0,0,6340
691,119082,4230,17,3600,14,6340
692,232171,22258,30,650,2,6340
693,369816,46942,35,7266,17,6340
694,37381,6091,16,0,0,6332
695,173543,92752,25,0,0,6329
696,31211,280,4,100,1,6330
697,47780,88773,20,250,2,6329
698,79479,23167,13,0,0,6118
699,81960,37072,22,700,7,6326
700,20162,2750,15,0,0,6324
701,105683,28386,17,0,0,6361
702,234327,30406,28,150,2,6319
703,463494,27390,17,750,1,6323
704,17334,6783,27,50,1,6318
705,57909,5150,4,0,0,6323
706,17949,0,0,0,0,6312
707,529477,31624,28,2098,5,6311
708,71543,0,0,0,0,6305
709,111897,14728,14,0,0,6310
710,61598,0,0,0,0,6311
711,417875,44472,18,0,0,6308
712,340874,68090,43,5676,27,6305
713,32774,0,0,0,0,6304
714,242910,103935,18,500,1,6296
715,137843,45416,24,250,1,6302
716,30530,5590,12,2950,9,6298
717,30973,0,0,0,0,6298
718,238749,7134,14,3134,12,6297
719,16803,1287,6,0,0,6291
720,23553,1587,4,487,2,6295
721,48161,41174,24,0,0,6294
722,21616,0,0,0,0,6291
723,13114,14029,13,0,0,6289
724,117120,41278,17,500,1,6288
725,52987,17510,15,0,0,6289
726,150176,29999,17,400,1,6284
727,19002,22675,21,0,0,6277
728,60976,97318,31,7000,14,6282
729,50675,1100,2,100,1,6282
730,65466,5488,13,0,0,6280
731,64280,21721,18,0,0,6280
732,14523,4197,4,0,0,6276
733,384470,20468,16,0,0,6280
734,9157,75,2,0,0,6274
735,151904,76440,25,950,8,6273
736,13781,48914,19,500,1,6269
737,40567,18122,16,0,0,6268
738,43090,11411,10,0,0,6259
739,1875,1250,3,0,0,6266
740,126555,41253,19,0,0,6280
741,16472,45517,12,0,0,6262
742,21270,318,10,0,0,6256
743,33410,818,12,0,0,6255
744,15750,1065,3,0,0,6254
745,104665,9547,12,0,0,6249
746,86285,61274,14,0,0,6249
747,41967,2125,10,0,0,6247
748,35026,9799,27,500,1,6247
749,138411,53843,14,0,0,6247
750,127693,17383,15,0,0,6246
751,52050,43190,14,0,0,6245
752,37162,0,0,0,0,6241
753,440265,22750,15,1250,10,6234
754,66572,8048,14,450,2,6240
755,237093,42020,15,0,0,6240
756,79561,6333,12,400,2,6231
757,131528,10365,17,500,1,6227
758,11820,2045,5,0,0,6227
759,20810,1713,13,0,0,6225
760,189423,63584,31,600,1,6476
761,96477,2987,13,0,0,6221
762,106471,8444,5,100,1,6220
763,33374,20441,13,0,0,6214
764,210018,48914,16,0,0,6217
765,26740,619,7,0,0,6213
766,244216,39166,14,0,0,6214
767,76737,34648,31,0,0,6211
768,20999,15914,13,0,0,6206
769,43179,11915,6,0,0,6214
770,119214,10028,16,0,0,6205
771,14988,2100,10,0,0,6203
772,21334,5472,20,0,0,6200
773,104307,51769,24,450,1,6197
774,34357,73622,25,100,1,6198
775,231437,31266,26,1550,4,6340
776,14662,1110,12,0,0,6197
777,13144,18615,18,0,0,6196
778,10978,14313,11,0,0,6193
779,150698,43589,20,1200,4,6193
780,18035,811,2,0,0,6193
781,194604,6606,10,0,0,6190
782,117852,11406,21,3850,13,6186
783,32356,22918,19,0,0,6571
784,44247,40939,26,0,0,6184
785,23431,3546,10,0,0,6182
786,37773,8436,15,0,0,6179
787,245758,2750,4,750,2,6179
788,63587,500,1,500,1,6184
789,15088,5625,15,0,0,6177
790,152539,65972,14,0,0,6187
791,333500,69780,23,1258,4,6171
792,15064,2910,9,0,0,6171
793,19032,2375,12,0,0,6169
794,66434,13041,13,0,0,6230
795,146097,6919,16,0,0,6165
796,8207,1750,7,0,0,6184
797,293648,22148,15,0,0,6161
798,147472,20645,16,0,0,6163
799,103993,14149,13,100,1,6158
800,34651,4000,6,500,1,6157
801,102339,47498,19,0,0,6156
802,149167,48521,13,0,0,6155
803,105249,36093,15,0,0,6153
804,55610,5095,13,0,0,6151
805,70391,6000,4,0,0,6150
806,74645,40367,18,0,0,6147
807,26939,29264,15,0,0,6148
808,207655,78967,31,0,0,6144
809,7421,0,0,0,0,6142
810,74924,59650,13,0,0,6141
811,17599,100,1,0,0,6029
812,5594,370,1,0,0,5835
813,66122,11756,13,0,0,5630
814,12024,0,0,0,0,5119
815,42044,11433,10,0,0,6140
816,83105,65077,28,753,3,6137
817,152063,34257,19,1100,3,6159
818,59546,20730,4,0,0,6135
819,1258,475,4,0,0,6134
820,75181,2455,7,1100,3,6133
821,68255,19077,22,400,2,6130
822,58229,53108,16,500,1,6137
823,97349,42774,14,0,0,6128
824,131424,58814,14,50,1,6128
825,24011,20442,9,0,0,6123
826,64538,0,0,0,0,6123
